Copyright (C) 2006-2011
Gaia Data Processing and Analysis Consortium

THIS IS AN AUTOMATICALLY GENERATED FILE - DO NOT EDIT!

The file has been automatically generated from the contents of the
Gaia Parameter Database at the URL
    http://gaia.esac.esa.int/gpdb
Version -live (r.231494)-2012-05-18T04:59:16

Please report any problems arising from the usage of this file to
the Gaia Librarian gaialib@rssd.esa.int

Name,Value,Unit,Basic,Scalar,Description,Source,Expression,LaTeX label,Last modified
NatureAsteroid3Juno_Mass,2.99e+19,kg,false,true,"Mass of 3 Juno","Value is calculated following J.L. Hilton, 1999, 'US Naval Observatory Ephemerides of the Largest Asteroids', AJ, 117, 1077, who assumes a mean mass density of 3 g cm^-3. A mass of 2.0E19 kg is found on http://nssdc.gsfc.nasa.gov/planetary/factsheet/asteroidfact.html","4 * Pi_Constant * (Asteroid3Juno_Diameter / 2) * (Asteroid3Juno_Diameter / 2) * (Asteroid3Juno_Diameter / 2) * 3 * 1.0E12 / 3","M",2006-03-01T09:00:00
NatureAsteroid3Juno_LightDeflection_Limb,0,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of 3 Juno","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * 2 * (1 + PPN_Gamma) * Newton_Constant * Asteroid3Juno_Mass / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * 1.0E3 * Asteroid3Juno_Diameter * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureAsteroid3Juno_PerihelionDistance_B1950,2.599,AU,false,true,"Perihelion distance of 3 Juno (epoch 1 October 1989). The orbital elements are referenced to the B1950 equinox and ecliptic","","Asteroid3Juno_OrbitalSemiMajorAxis_B1950 * (1 - Asteroid3Juno_OrbitalEccentricity_B1950)","q",2006-03-01T09:00:00
NatureAsteroid4Vesta_LightDeflection_Limb,1,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of 4 Vesta","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * 2 * (1 + PPN_Gamma) * INPOP06:Asteroid4VestaMass_SolarMass * Sun_GM / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * 1.0E3 * Asteroid4Vesta_Diameter * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureAsteroid4Vesta_PerihelionDistance_B1950,2.147,AU,false,true,"Perihelion distance of 4 Vesta (epoch 1 October 1989). The orbital elements are referenced to the B1950 equinox and ecliptic","","Asteroid4Vesta_OrbitalSemiMajorAxis_B1950 * (1 - Asteroid4Vesta_OrbitalEccentricity_B1950)","q",2006-03-01T09:00:00
NatureAstronomicalUnit_Meter,1.495978706910000e+11,m,false,true,"Astronomical unit (AU) length (TCB-compatible value)","Numerical value remains TBC: the IAU has currently (October 2010) not yet agreed on a TCB-compatible value for the AU","INPOP06:AstronomicalUnit_Meter","{\rm AU} = c \tau_A",2007-08-14T13:00:00
NatureAtomicMass_Constant,1.660538921e-27,kg,false,true,"Atomic mass constant (also known as atomic mass unit [amu]; 1 amu is defined as 1/12-th of the mass of a 12-C atom). Note: best-measured value equals 1.660538921E-27 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","1.0E-3 / Avogadro_Constant","m_u",2012-02-02T16:00:00
NatureBohrRadius_Constant,5.2917721011e-11,m,false,true,"Bohr radius. Note: best-measured value equals 0.52917721092E-10 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","FineStructure_Constant / (4 * Pi_Constant * Rydberg_Constant)","a_0",2012-02-02T16:00:00
NatureBoltzmann_Constant,1.3806488e-23,J K^-1,false,true,"Boltzmann's constant. Note: best-measured value equals 1.3806488E-23(P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","MolarGas_Constant / Avogadro_Constant","k",2012-02-02T16:00:00
NatureCharon_Mass,1.471e+21,kg,false,true,"Mass of Charon (do not use for high-precision (orbit) calculations)","","PlutoSystem_Mass - Pluto_Mass","M",2010-10-08T15:00:00
NatureCharon_MassDensity_Mean,1.586,g cm^-3,false,true,"Mean mass density of Charon","","3 * Charon_Mass / (4 * Pi_Constant * Charon_Radius * Charon_Radius * Charon_Radius * 1000)","\rho",2010-10-08T15:00:00
NatureCharon_EncompassingSphereRadius,6.05e+5,m,false,true,"Radius of the smallest hypothetical sphere around Charon which would encompass the body (this is a low-accuracy parameter used in the relativistic model)","","Charon_Radius","R",2008-03-18T15:00:00
NatureCharon_LightDeflection_Limb,1,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of Charon","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * (1 + PPN_Gamma) * Newton_Constant * Charon_Mass / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * Charon_Radius * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureDay_Second,86400,s,false,true,"Number of seconds per day","IAU definition","60 * 60 * 24","",2006-03-01T09:00:00
NatureDegree_Radian,1.74532925199433e-2,rad,false,true,"One degree in units of radians","","Pi_Constant / 180","",2006-11-20T16:00:00
NatureEarth_SurfaceGravity,9.798,m s^-2,false,true,"Surface gravity of the Earth","","Earth_GM / (Earth_EquatorialRadius * Earth_EquatorialRadius)","g_\oplus",2009-02-11T16:00:00
NatureEarth_NorthRotationalPole_RightAscensionRateOfChange,-0.00001755,deg day^-1,false,true,"IAU-recommended value for the rate of change (in degrees per Julian day, calculated from the standard epoch) of the right ascension \alpha_0 of the north pole of rotation of Earth. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees. The numerical value shall be used for comparative purposes only","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","-0.641/36525","d\alpha_0/dt",2006-11-20T17:00:00
NatureEarth_NorthRotationalPole_DeclinationRateOfChange,-0.00001525,deg day^-1,false,true,"IAU-recommended value for the rate of change (in degrees per Julian day, calculated from the standard epoch) of the declination \delta_0 of the north pole of rotation of Earth. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees. The numerical value shall be used for comparative purposes only","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","-0.557/36525","d\delta_0/dt",2006-11-20T17:00:00
NatureEarth_GM,3.986004418e+14,m^3 s^-2,false,true,"Geocentric gravitational constant (TCB-compatible value), including the Earth's atmosphere but excluding the mass of the Moon","","EarthEllipsoid_GM","GM_\oplus",2006-03-01T09:00:00
NatureEarth_Mass,5.9726e+24,kg,false,true,"Earth mass, including its atmosphere but excluding the mass of the Moon","","Earth_GM / Newton_Constant","M_\oplus",2006-03-01T09:00:00
NatureEarth_MassDensity_Mean,5.514,g cm^-3,false,true,"Mean mass density of the Earth","","3 * Earth_Mass / (4 * Pi_Constant * Earth_EquatorialRadius * Earth_EquatorialRadius * Earth_PolarRadius * 1000)","\rho_\oplus",2006-03-01T09:00:00
NatureEarth_EquatorialRadius,6.3781366e+6,m,false,true,"Equatorial radius of the Earth","","EarthEllipsoid_SemiMajorAxis_ZeroFrequencyTide","a_\oplus",2006-03-01T09:00:00
NatureEarth_PolarRadius,6.3567519e+6,m,false,true,"Mean polar radius of the Earth","","Earth_EquatorialRadius * (1 - Earth_Flattening)","b_\oplus",2006-03-01T09:00:00
NatureEarth_VolumetricRadius,6.37100e+6,m,false,true,"Mean volumetric radius of the Earth","","Earth_EquatorialRadius * pow(1 - Earth_Flattening; 1/3)","R_{V\oplus}",2006-03-01T09:00:00
NatureEarth_Radius_Mean,6.37101e+6,m,false,true,"Mean radius of the Earth","","(2 * Earth_EquatorialRadius + Earth_PolarRadius) / 3","R",2006-03-01T09:00:00
NatureEarth_Flattening,3.35281970e-3,,false,true,"Geometrical flattening factor f of the Earth (f = (a-b)/a); this quantity is also refered to as ellipticity, but is not identical to eccentricity","","1 / EarthEllipsoid_InverseFlattening_ZeroFrequencyTide","f_\oplus",2006-03-01T09:00:00
NatureEarth_Eccentricity,8.18193009e-2,,false,true,"Eccentricity e of the Earth (its shape, not its orbit)","","sqrt(2 * Earth_Flattening - Earth_Flattening * Earth_Flattening)","e_\oplus",2006-03-01T09:00:00
NatureEarth_EncompassingSphereRadius,6378137,m,false,true,"Radius of the smallest hypothetical sphere around the Earth which would encompass the body (this is a low-accuracy parameter used in the relativistic model)","","INPOP06:Earth_EquatorialRadius","R",2008-03-18T15:00:00
NatureEarth_OrbitalSpeed_Mean,2.9783e+4,m s^-1,false,true,"Mean orbital speed of the Earth (mean velocity over an unperturbed elliptic orbit). The equation is accurate to 4-th order in EMBC_OrbitalEccentricity_J2000","","2 * Pi_Constant * AstronomicalUnit_Meter * (1 - EMBC_OrbitalEccentricity_J2000 * EMBC_OrbitalEccentricity_J2000 / 4) / (SiderealYear_J2000Day * Day_Second)","V_\oplus",2006-03-01T09:00:00
NatureEarth_TransitProbability,0.470,%,false,true,"Geometric transit probability (Earth transiting the Sun) for an observer external to the solar system","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.1, Equation 2.2, page 14","100 * (Sun_EquatorialRadius + Earth_Radius_Mean) / AstronomicalUnit_Meter","",2006-03-01T09:00:00
NatureEarth_FluxReduction_Maximum,0.008,%,false,true,"Maximum reduction of the solar flux for an observer external to the solar system during a transit of Earth","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.2, Equation 2.4, page 14","100 * (Earth_Radius_Mean / Sun_EquatorialRadius) * (Earth_Radius_Mean / Sun_EquatorialRadius)","",2006-03-01T09:00:00
NatureEarth_TransitTime_Maximum,0.55,day,false,true,"Maximum transit time of Earth (transiting the Sun) for an observer external to the solar system","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.3, Equation 2.5, page 15","(SiderealYear_J2000Day / Pi_Constant)* asin((Sun_EquatorialRadius + Earth_Radius_Mean) / AstronomicalUnit_Meter)","",2006-03-01T09:00:00
NatureEarthEllipsoid_RSub0,6.3636726e+6,m,false,true,"Geopotential scale factor","","EarthEllipsoid_GM / EarthEllipsoid_WSub0 ","R_{0\oplus}",2006-03-01T09:00:00
NatureEarthSystem_RadialVelocitySignature,0.091,m s^-1,false,true,"Radial-velocity amplitude of the Sun induced by the Earth system for 'an edge-on observer' (i.e., an observer in the orbital plane of the Earth system)","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 1.4, Equation 1.18, page 9","(2 * Pi_Constant * Earth_Mass * (1 + INPOP06:MoonToEarth_MassRatio) / (JulianYear_Day * Day_Second * sqrt(1 - EMBC_OrbitalEccentricity_J2000 * EMBC_OrbitalEccentricity_J2000))) * pow(JulianYear_Day * Day_Second * JulianYear_Day * Day_Second * Newton_Constant / (4 * Pi_Constant * Pi_Constant * Earth_Mass * (1 + INPOP06:MoonToEarth_MassRatio) * (1 + INPOP06:SunToEarthSystem_MassRatio) * Earth_Mass * (1 + INPOP06:MoonToEarth_MassRatio) * (1 + INPOP06:SunToEarthSystem_MassRatio)); 1/3)","K",2007-08-16T16:00:00
NatureEarthSystem_AstrometricSignature_10Parsec,0.304,10^-6 arcsec,false,true,"Astrometric signature of the Sun induced by the Earth system for an observer located at a distance of 10 pc from the Sun","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 1.7, Equation 1.22, page 11","1.0E6 / (10 * INPOP06:SunToEarthSystem_MassRatio)","\alpha",2007-08-16T16:00:00
NatureEarthToMoon_MassRatio,81.30057,,false,true,"Ratio of Earth to Moon mass","","1 / MoonToEarth_MassRatio ","",2006-03-01T09:00:00
NatureElectric_Constant,8.85418781762039e-12,F m^-1,false,true,"Electric constant (defining constant)","","1 / (Magnetic_Constant * VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum)","\epsilon_0",2006-03-01T09:00:00
NatureElectron_ClassicalRadius,2.8179403268e-15,m,false,true,"Classical electron radius. Note: best-measured value equals 2.8179403267E-15 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","FineStructure_Constant * FineStructure_Constant * BohrRadius_Constant","r_e",2012-02-02T16:00:00
NatureElectron_CrossSection_ThomsonScattering,6.652458735e-29,m^2,false,true,"Thomson free-electron-scattering absorption coefficient (cross section per electron). Note: best-measured value equals 0.6652458734E-28 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","E.g., R. Kippenhahn, A. Weigert, 1991, 'Stellar structure and evolution' (corrected 2-nd printing), Springer Verlag, Berlin, Section 17, Equation 17.1, page 137","(8 * Pi_Constant / 3) * Electron_ClassicalRadius * Electron_ClassicalRadius","\sigma_e",2012-02-02T16:00:00
NatureFineStructure_Constant,7.2973525755e-3,,false,true,"Fine structure constant. Note: best-measured value equals 7.2973525698E-3 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","(ElementaryCharge_Constant * ElementaryCharge_Constant * 2 * Pi_Constant) / (4 * Pi_Constant * Electric_Constant * Planck_Constant * VelocityOfLight_Constant_Vacuum)","\alpha",2012-02-02T16:00:00
NatureForeshortening_Constant,1.022712165e-9,mas^-1 km^-1 yr^-1 s,false,true,"Foreshortening constant A_z^-1 (see ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, page 25, Table 1.2.2)","","Pi_Constant * JulianYear_Day * Day_Second / (AstronomicalUnit_Meter * 180 * 3600)","A_z^{-1}",2006-03-01T09:00:00
NatureFourPiSteradian_DegreeSquare,41252.9612494193,deg^2,false,true,"Surface area of unit sphere (4 Pi steradians) in units of square degrees","","360 * 360 / Pi_Constant","",2006-03-01T09:00:00
NatureFusedSilica_SellmeierCoefficient_C1,0.00787874390,(10^-6 m)^2,false,true,"Sellmeier coefficient C_1 of synthetic fused Silica, in units of (10^-6 m)^2, at T = 120 K. It is emphasised that this C-value is already squared, thus complying with the denominator units of the Sellmeier equation, in (10^-6 m)^2. The Sellmeier equation is an empirical relation between the refractive index n and wavelength \lambda for transparent media in the form: n^2(\lambda) = 1 + \frac{B_1 \lambda^2}{\lambda^2 - C_1} + \frac{B_2 \lambda^2}{\lambda^2 - C_2} + \frac{B_3 \lambda^2}{\lambda^2 - C_3}, where B_1, B_2, B_3 and C_1, C_2, C_3 are experimentally-determined Sellmeier coefficients. These coefficients are defined for \lambda measured in 10^-6 m. The wavelength \lambda is the vacuum wavelength and not that in the material itself, which is \lambda / n(\lambda)","EADS-Astrium, 4 July 2008, 'Code V Models Description', GAIA.ASF.TCN.PLM.00287, issue 1, revision 0. For temperature-dependent Sellmeier coefficients, see G. Ghosh, M. Endo, T. Iwasaki, 1 August 1994, 'Temperature-dependent Sellmeier coefficients and chromatic dispersions for some optical fiber glasses', Journal of Lightwave Technology, Volume 12, Number 8, pages 1338-1342 (1994JLwT...12.1338G) and http://www.schott.com/advanced_optics/english/download/- schott_tie-29_refractive_index_v3_jan_2007_en.pdf","-0.0887622887091 * -0.0887622887091","C_1",2008-12-10T17:00:00
NatureFusedSilica_SellmeierCoefficient_C2,0.07320427965,(10^-6 m)^2,false,true,"Sellmeier coefficient C_2 of synthetic fused Silica, in units of (10^-6 m)^2, at T = 120 K. It is emphasised that this C-value is already squared, thus complying with the denominator units of the Sellmeier equation, in (10^-6 m)^2. The Sellmeier equation is an empirical relation between the refractive index n and wavelength \lambda for transparent media in the form: n^2(\lambda) = 1 + \frac{B_1 \lambda^2}{\lambda^2 - C_1} + \frac{B_2 \lambda^2}{\lambda^2 - C_2} + \frac{B_3 \lambda^2}{\lambda^2 - C_3}, where B_1, B_2, B_3 and C_1, C_2, C_3 are experimentally-determined Sellmeier coefficients. These coefficients are defined for \lambda measured in 10^-6 m. The wavelength \lambda is the vacuum wavelength and not that in the material itself, which is \lambda / n(\lambda)","EADS-Astrium, 4 July 2008, 'Code V Models Description', GAIA.ASF.TCN.PLM.00287, issue 1, revision 0. For temperature-dependent Sellmeier coefficients, see G. Ghosh, M. Endo, T. Iwasaki, 1 August 1994, 'Temperature-dependent Sellmeier coefficients and chromatic dispersions for some optical fiber glasses', Journal of Lightwave Technology, Volume 12, Number 8, pages 1338-1342 (1994JLwT...12.1338G) and http://www.schott.com/advanced_optics/english/download/- schott_tie-29_refractive_index_v3_jan_2007_en.pdf","0.270562894067 * 0.270562894067","C_2",2008-12-10T17:00:00
NatureFusedSilica_SellmeierCoefficient_C3,85.64043680329,(10^-6 m)^2,false,true,"Sellmeier coefficient C_3 of synthetic fused Silica, in units of (10^-6 m)^2, at T = 120 K. It is emphasised that this C-value is already squared, thus complying with the denominator units of the Sellmeier equation, in (10^-6 m)^2. The Sellmeier equation is an empirical relation between the refractive index n and wavelength \lambda for transparent media in the form: n^2(\lambda) = 1 + \frac{B_1 \lambda^2}{\lambda^2 - C_1} + \frac{B_2 \lambda^2}{\lambda^2 - C_2} + \frac{B_3 \lambda^2}{\lambda^2 - C_3}, where B_1, B_2, B_3 and C_1, C_2, C_3 are experimentally-determined Sellmeier coefficients. These coefficients are defined for \lambda measured in 10^-6 m. The wavelength \lambda is the vacuum wavelength and not that in the material itself, which is \lambda / n(\lambda)","EADS-Astrium, 4 July 2008, 'Code V Models Description', GAIA.ASF.TCN.PLM.00287, issue 1, revision 0. For temperature-dependent Sellmeier coefficients, see G. Ghosh, M. Endo, T. Iwasaki, 1 August 1994, 'Temperature-dependent Sellmeier coefficients and chromatic dispersions for some optical fiber glasses', Journal of Lightwave Technology, Volume 12, Number 8, pages 1338-1342 (1994JLwT...12.1338G) and http://www.schott.com/advanced_optics/english/download/- schott_tie-29_refractive_index_v3_jan_2007_en.pdf","9.25421184128 * 9.25421184128","C_3",2008-12-10T17:00:00
NatureInverseFineStructure_Constant,137.035998967,,false,true,"Inverse of the fine structure constant. Note: best-measured value equals 137.035999074 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","1 / FineStructure_Constant","\alpha^{-1}",2012-02-02T16:00:00
NatureJulianDate_J2010,2455197.5,JD,false,true,"Julian date of the Gaia-specific reference epoch J2010 = J2010.0 = JD2455197.5 = 2010-01-01T00:00:00","U. Bastian, 5 July 2007, 'Reference systems, conventions, and notations for Gaia', GAIA-CA-SP-ARI-BAS-003-06, issue 6, revision 1, Section 3.5","JulianDate_J2000 + (2010 - 2000) * JulianYear_Day","J2010",2006-03-01T09:00:00
NatureJulianYear_Day,365.25,day,false,true,"Number of days per Julian year","IAU definition","JulianCentury_JulianYear / 100","",2006-03-01T09:00:00
